model,fpr,tpr
Logistic Regression,0.21159613462179275,0.5342857142857143
Logistic Regression,0.21159613462179275,0.5371428571428571
Logistic Regression,0.21726091302899034,0.5371428571428571
Logistic Regression,0.21726091302899034,0.54
Logistic Regression,0.22059313562145952,0.54
Logistic Regression,0.22059313562145952,0.5428571428571428
Logistic Regression,0.2222592469176941,0.5428571428571428
Logistic Regression,0.2222592469176941,0.5457142857142857
Logistic Regression,0.2255914695101633,0.5457142857142857
Logistic Regression,0.2255914695101633,0.5485714285714286
Logistic Regression,0.22825724758413862,0.5485714285714286
Logistic Regression,0.22825724758413862,0.5514285714285714
Logistic Regression,0.23058980339886703,0.5514285714285714
Logistic Regression,0.23058980339886703,0.5542857142857143
Logistic Regression,0.23258913695434855,0.5542857142857143
Logistic Regression,0.23258913695434855,0.5571428571428572
Logistic Regression,0.23825391536154616,0.5571428571428572
Logistic Regression,0.23825391536154616,0.56
Logistic Regression,0.24791736087970676,0.56
Logistic Regression,0.24791736087970676,0.5628571428571428
Logistic Regression,0.24925024991669442,0.5628571428571428
Logistic Regression,0.24925024991669442,0.5657142857142857
Logistic Regression,0.2559146951016328,0.5657142857142857
Logistic Regression,0.2559146951016328,0.5685714285714286
Logistic Regression,0.25691436187937355,0.5685714285714286
Logistic Regression,0.25691436187937355,0.5714285714285714
Logistic Regression,0.263245584805065,0.5714285714285714
Logistic Regression,0.263245584805065,0.5742857142857143
Logistic Regression,0.2655781406197934,0.5742857142857143
Logistic Regression,0.2655781406197934,0.5771428571428572
Logistic Regression,0.27090969676774407,0.5771428571428572
Logistic Regression,0.27090969676774407,0.58
Logistic Regression,0.2725758080639787,0.58
Logistic Regression,0.2725758080639787,0.5828571428571429
Logistic Regression,0.2729090303232256,0.5828571428571429
Logistic Regression,0.2729090303232256,0.5857142857142857
Logistic Regression,0.28123958680439853,0.5857142857142857
Logistic Regression,0.28123958680439853,0.5885714285714285
Logistic Regression,0.28723758747084305,0.5885714285714285
Logistic Regression,0.28723758747084305,0.5914285714285714
Logistic Regression,0.28857047650783074,0.5914285714285714
Logistic Regression,0.28857047650783074,0.5942857142857143
Logistic Regression,0.2902365878040653,0.5942857142857143
Logistic Regression,0.2902365878040653,0.5971428571428572
Logistic Regression,0.2935688103965345,0.5971428571428572
Logistic Regression,0.2935688103965345,0.6
Logistic Regression,0.299566811062979,0.6
Logistic Regression,0.299566811062979,0.6028571428571429
Logistic Regression,0.30223258913695433,0.6028571428571429
Logistic Regression,0.30223258913695433,0.6085714285714285
Logistic Regression,0.31356214595134957,0.6085714285714285
Logistic Regression,0.31356214595134957,0.6142857142857143
Logistic Regression,0.315894701766078,0.6142857142857143
Logistic Regression,0.315894701766078,0.6171428571428571
Logistic Regression,0.31756081306231254,0.6171428571428571
Logistic Regression,0.31756081306231254,0.62
Logistic Regression,0.3252249250249917,0.62
Logistic Regression,0.3252249250249917,0.6228571428571429
Logistic Regression,0.33455514828390537,0.6228571428571429
Logistic Regression,0.33455514828390537,0.6257142857142857
Logistic Regression,0.3375541486171276,0.6257142857142857
Logistic Regression,0.3375541486171276,0.6285714285714286
Logistic Regression,0.34721759413528824,0.6285714285714286
Logistic Regression,0.34721759413528824,0.6314285714285715
Logistic Regression,0.3488837054315228,0.6314285714285715
Logistic Regression,0.3488837054315228,0.6342857142857142
Logistic Regression,0.3572142619126958,0.6342857142857142
Logistic Regression,0.3572142619126958,0.6371428571428571
Logistic Regression,0.3632122625791403,0.6371428571428571
Logistic Regression,0.3632122625791403,0.64
Logistic Regression,0.3665444851716095,0.64
Logistic Regression,0.3665444851716095,0.6428571428571429
Logistic Regression,0.38487170943018995,0.6428571428571429
Logistic Regression,0.38487170943018995,0.6457142857142857
Logistic Regression,0.38520493168943687,0.6457142857142857
Logistic Regression,0.38520493168943687,0.6485714285714286
